sale_id,store,product_cat,units,unit_price,revenue,channel,satisfaction,date
S0044,South,Electronics,9,293.43,2640.87,Online,5.5,2024-01-30 00:00:00
S0045,East,Electronics,11,240.32,2643.52,In-store,7.3,2024-01-05 00:00:00
S0046,North,Furniture,7,278.53,1949.71,In-store,8.5,2024-04-29 00:00:00
S0047,South,Furniture,7,349.86,2449.02,In-store,6.6,2024-10-28 00:00:00
S0048,North,Groceries,4,117.55,470.2,Online,8.7,2024-05-28 00:00:00
S0049,South,Cosmetics,6,348.83,2092.98,Online,5.1,2024-09-09 00:00:00
S0050,South,Cosmetics,6,520.49,3122.94,Online,4.5,2024-11-01 00:00:00
S0051,East,Furniture,1,210.23,210.23,Online,4.1,2024-04-14 00:00:00
S0052,East,Electronics,10,294.36,2943.6,In-store,9.5,2024-05-23 00:00:00
S0053,South,Furniture,7,62.78,439.46,Online,5.2,2024-01-20 00:00:00
S0054,North,Cosmetics,6,124.59,747.54,Online,3.7,2024-01-18 00:00:00
S0055,East,Cosmetics,9,224.93,2024.37,In-store,9.7,2024-02-02 00:00:00
S0056,North,Groceries,10,385.71,3857.1,In-store,5.6,2024-04-29 00:00:00
S0057,East,Furniture,11,58.42,642.62,In-store,4.7,2024-03-22 00:00:00
S0058,East,Electronics,6,579.63,3477.78,Online,3.8,2024-05-11 00:00:00
S0059,East,Groceries,6,40.27,241.62,Online,5.2,2024-09-19 00:00:00
S0060,South,Groceries,12,445.04,5340.48,Online,4.4,2024-01-03 00:00:00
S0061,South,Furniture,4,407.75,1631.0,In-store,8.4,2024-02-23 00:00:00
S0062,South,Cosmetics,8,197.73,1581.84,Online,5.9,2024-07-13 00:00:00
S0063,North,Groceries,3,267.62,802.86,In-store,8.2,2024-04-09 00:00:00
S0064,North,Groceries,1,98.39,98.39,In-store,9.3,2024-03-12 00:00:00
S0065,South,Groceries,8,574.98,4599.84,Online,6.4,2024-06-22 00:00:00
S0066,South,Groceries,6,494.72,2968.32,In-store,4.4,2024-04-23 00:00:00
S0067,East,Cosmetics,12,38.75,465.0,Online,6.4,2024-03-17 00:00:00
S0068,North,Electronics,5,253.87,1269.35,Online,5.3,2024-05-31 00:00:00
S0069,South,Cosmetics,6,483.47,2900.82,Online,5.6,2024-09-04 00:00:00
S0070,East,Groceries,2,96.25,192.5,Online,7.1,2024-05-26 00:00:00
S0071,North,Apparel,2,158.39,316.78,In-store,9.9,2024-05-02 00:00:00
S0072,South,Cosmetics,4,63.05,252.2,Online,3.9,2024-05-30 00:00:00
S0073,North,Cosmetics,3,587.29,1761.87,In-store,6.8,2024-08-14 00:00:00
S0074,East,Apparel,1,474.79,474.79,Online,5.8,2024-01-21 00:00:00
S0075,East,Electronics,7,134.87,944.09,Online,9.0,2024-09-24 00:00:00
S0076,North,Furniture,4,428.41,1713.64,Online,8.9,2024-11-07 00:00:00
S0077,South,Electronics,12,299.81,3597.72,Online,4.4,2024-12-08 00:00:00
S0078,North,Furniture,12,378.92,4547.04,In-store,4.8,2024-02-03 00:00:00
S0079,South,Groceries,12,440.97,5291.64,In-store,5.7,2024-11-23 00:00:00
S0080,South,Cosmetics,8,58.75,470.0,Online,9.2,2024-05-16 00:00:00
S0081,South,Groceries,4,115.7,462.8,Online,8.1,2024-10-21 00:00:00
S0082,South,Furniture,10,515.55,5155.5,In-store,9.8,2024-02-06 00:00:00
S0083,North,Apparel,2,217.25,434.5,In-store,7.2,2024-02-01 00:00:00
S0084,East,Cosmetics,5,524.32,2621.6,In-store,6.8,2024-09-28 00:00:00
S0085,North,Groceries,9,84.95,764.55,Online,7.5,2024-03-26 00:00:00
S0086,East,Groceries,2,190.59,381.18,Online,4.1,2024-12-23 00:00:00
S0087,North,Furniture,12,121.08,1452.96,In-store,6.9,2024-12-25 00:00:00
S0088,North,Electronics,8,66.2,529.6,Online,5.3,2024-08-26 00:00:00
S0089,South,Groceries,8,353.61,2828.88,Online,4.3,2024-03-11 00:00:00
S0090,North,Electronics,9,357.13,3214.17,In-store,8.4,2024-03-25 00:00:00
S0091,South,Cosmetics,1,562.86,562.86,Online,6.1,2024-01-27 00:00:00
S0092,North,Apparel,6,206.44,1238.64,In-store,9.0,2024-10-15 00:00:00
S0093,East,Groceries,6,489.95,2939.7,In-store,6.9,2024-12-14 00:00:00
S0094,South,Groceries,6,153.32,919.92,In-store,4.2,2024-04-05 00:00:00
S0095,North,Furniture,2,197.99,395.98,Online,5.0,2024-08-03 00:00:00
S0096,South,Groceries,7,467.06,3269.42,Online,3.7,2024-11-24 00:00:00
S0097,East,Furniture,10,163.13,1631.3,In-store,7.6,2024-01-19 00:00:00
S0098,North,Furniture,10,64.8,648.0,Online,6.3,2024-01-21 00:00:00
S0099,South,Electronics,5,72.26,361.3,Online,3.9,2024-09-20 00:00:00
S0100,East,Furniture,5,55.26,276.3,Online,6.4,2024-09-18 00:00:00
S0101,South,Furniture,3,531.69,1595.07,In-store,5.3,2024-02-14 00:00:00
S0102,South,Furniture,12,330.06,3960.72,Online,7.7,2024-04-13 00:00:00
S0103,South,Furniture,9,427.66,3848.94,In-store,7.5,2024-08-28 00:00:00
S0104,South,Electronics,5,23.42,117.1,Online,6.8,2024-07-15 00:00:00
S0105,South,Electronics,10,240.89,2408.9,Online,5.6,2024-06-15 00:00:00
S0106,North,Apparel,8,165.61,1324.88,Online,8.5,2024-03-22 00:00:00
S0107,South,Cosmetics,9,44.75,402.75,Online,6.9,2024-08-13 00:00:00
S0108,North,Furniture,6,442.57,2655.42,Online,9.9,2024-12-12 00:00:00
S0109,South,Apparel,12,560.7,6728.4,In-store,4.4,2024-04-13 00:00:00
S0110,South,Furniture,10,368.4,3684.0,Online,8.3,2024-08-31 00:00:00
S0111,East,Electronics,5,472.04,2360.2,In-store,9.2,2024-01-03 00:00:00
S0112,East,Groceries,7,460.58,3224.06,In-store,6.1,2024-10-19 00:00:00
S0113,South,Furniture,3,253.66,760.98,Online,6.0,2024-08-19 00:00:00
S0114,East,Apparel,12,277.45,3329.4,In-store,5.8,2024-09-26 00:00:00
S0115,East,Apparel,9,359.28,3233.52,Online,8.6,2024-09-12 00:00:00
S0116,North,Furniture,7,269.2,1884.4,In-store,8.7,2024-08-11 00:00:00
S0117,North,Groceries,10,229.31,2293.1,In-store,5.6,2024-11-07 00:00:00
S0118,North,Cosmetics,4,575.46,2301.84,Online,3.7,2024-05-11 00:00:00
S0119,South,Furniture,10,538.06,5380.6,In-store,7.0,2024-08-11 00:00:00
S0120,East,Cosmetics,9,496.28,4466.52,In-store,6.5,2024-01-21 00:00:00
S0121,South,Groceries,10,407.35,4073.5,Online,6.9,2024-02-20 00:00:00
S0122,South,Furniture,7,227.78,1594.46,Online,9.2,2024-08-03 00:00:00
S0123,East,Furniture,8,243.98,1951.84,In-store,8.0,2024-02-17 00:00:00
S0124,South,Groceries,3,220.82,662.46,In-store,6.8,2024-02-26 00:00:00
S0125,East,Apparel,11,537.23,5909.53,In-store,7.6,2024-09-25 00:00:00
S0126,North,Furniture,5,490.62,2453.1,Online,6.2,2024-01-31 00:00:00
S0127,North,Apparel,11,341.15,3752.65,Online,8.0,2024-01-06 00:00:00
S0128,East,Furniture,1,187.51,187.51,Online,9.5,2024-07-22 00:00:00
S0129,East,Groceries,2,353.79,707.58,Online,4.6,2024-10-10 00:00:00
S0130,East,Furniture,10,163.28,1632.8,Online,7.2,2024-07-29 00:00:00
S0131,North,Furniture,10,77.29,772.9,Online,3.7,2024-02-08 00:00:00
S0132,South,Cosmetics,3,568.96,1706.88,In-store,8.7,2024-02-01 00:00:00
S0133,East,Apparel,11,12.43,136.73,Online,8.2,2024-06-30 00:00:00
S0134,South,Groceries,5,105.8,529.0,Online,5.8,2024-08-18 00:00:00
S0135,North,Electronics,10,234.47,2344.7,In-store,7.3,2024-01-23 00:00:00
S0136,North,Electronics,8,37.48,299.84,Online,3.8,2024-10-27 00:00:00
S0137,South,Apparel,3,192.3,576.9,In-store,7.4,2024-09-10 00:00:00
S0138,South,Furniture,2,149.54,299.08,Online,6.2,2024-07-23 00:00:00
S0139,North,Groceries,12,293.21,3518.52,Online,4.6,2024-07-13 00:00:00
S0140,South,Cosmetics,3,9.54,28.62,In-store,4.2,2024-09-30 00:00:00
S0141,East,Groceries,7,204.85,1433.95,Online,6.2,2024-06-28 00:00:00
S0142,North,Cosmetics,9,150.74,1356.66,In-store,5.7,2024-08-11 00:00:00
S0143,North,Apparel,1,171.08,171.08,Online,5.1,2024-03-07 00:00:00
S0144,East,Electronics,2,121.8,243.6,In-store,6.5,2024-05-02 00:00:00
S0145,North,Cosmetics,3,223.91,671.73,In-store,7.6,2024-10-24 00:00:00
S0146,South,Furniture,4,181.87,727.48,Online,5.0,2024-08-19 00:00:00
S0147,East,Apparel,11,82.91,912.01,In-store,7.3,2024-07-07 00:00:00
S0148,East,Furniture,9,151.52,1363.68,Online,4.3,2024-03-03 00:00:00
S0149,East,Apparel,11,310.25,3412.75,In-store,3.7,2024-10-17 00:00:00
S0150,South,Groceries,3,189.92,569.76,Online,8.5,2024-04-28 00:00:00
S0151,North,Groceries,6,117.05,702.3,In-store,8.7,2024-06-01 00:00:00
S0152,South,Groceries,4,44.22,176.88,Online,5.4,2024-07-23 00:00:00
S0153,South,Electronics,5,216.76,1083.8,In-store,4.6,2024-07-06 00:00:00
S0154,East,Apparel,11,480.64,5287.04,In-store,3.7,2024-12-26 00:00:00
S0155,South,Apparel,12,280.24,3362.88,Online,4.7,2024-02-28 00:00:00
S0156,East,Electronics,5,548.05,2740.25,Online,6.1,2024-11-07 00:00:00
S0157,South,Electronics,3,261.27,783.81,In-store,8.3,2024-10-09 00:00:00
S0158,North,Furniture,5,379.53,1897.65,Online,7.2,2024-09-23 00:00:00
S0159,East,Furniture,5,555.79,2778.95,In-store,9.6,2024-02-27 00:00:00
S0160,North,Furniture,11,175.37,1929.07,Online,9.8,2024-12-14 00:00:00
S0161,South,Electronics,2,27.09,54.18,In-store,8.4,2024-02-14 00:00:00
S0162,South,Furniture,7,418.33,2928.31,Online,5.3,2024-02-16 00:00:00
S0163,South,Cosmetics,6,568.09,3408.54,In-store,8.0,2024-12-18 00:00:00
S0164,East,Groceries,11,377.44,4151.84,Online,6.3,2024-09-19 00:00:00
S0165,North,Groceries,3,296.26,888.78,In-store,4.6,2024-03-24 00:00:00
S0166,South,Electronics,11,145.42,1599.62,Online,4.6,2024-06-26 00:00:00
S0167,East,Apparel,7,60.06,420.42,Online,4.4,2024-12-27 00:00:00
S0168,North,Electronics,8,403.85,3230.8,Online,6.8,2024-08-15 00:00:00
S0169,South,Apparel,3,561.83,1685.49,Online,9.3,2024-03-13 00:00:00
S0170,South,Groceries,10,340.14,3401.4,In-store,8.4,2024-03-27 00:00:00
S0171,East,Cosmetics,11,401.59,4417.49,In-store,8.9,2024-02-28 00:00:00
S0172,South,Cosmetics,12,177.16,2125.92,Online,3.8,2024-05-23 00:00:00
S0173,East,Apparel,5,122.28,611.4,In-store,9.8,2024-03-23 00:00:00
S0174,East,Apparel,6,269.82,1618.92,In-store,4.6,2024-02-06 00:00:00
S0175,South,Groceries,1,11.43,11.43,In-store,9.9,2024-10-15 00:00:00
S0176,South,Cosmetics,5,69.74,348.7,In-store,4.7,2024-10-05 00:00:00
S0177,North,Apparel,6,9.94,59.64,In-store,7.7,2024-02-10 00:00:00
S0178,North,Cosmetics,3,449.73,1349.19,Online,5.4,2024-04-05 00:00:00
S0179,East,Electronics,11,317.63,3493.93,Online,8.6,2024-06-07 00:00:00
S0180,South,Electronics,12,371.99,4463.88,In-store,5.6,2024-07-07 00:00:00
S0181,South,Apparel,3,332.92,998.76,Online,3.9,2024-02-24 00:00:00
S0182,East,Cosmetics,10,482.66,4826.6,Online,9.6,2024-09-10 00:00:00
S0183,North,Apparel,7,302.22,2115.54,Online,4.4,2024-04-26 00:00:00
S0184,East,Cosmetics,3,87.29,261.87,Online,9.9,2024-08-13 00:00:00
S0185,East,Apparel,8,118.53,948.24,Online,3.7,2024-11-08 00:00:00
S0186,South,Groceries,9,258.14,2323.26,Online,6.8,2024-08-03 00:00:00
S0187,North,Electronics,6,42.32,253.92,Online,6.0,2024-01-03 00:00:00
S0188,East,Apparel,8,483.48,3867.84,Online,6.5,2024-10-04 00:00:00
S0189,South,Furniture,6,312.48,1874.88,Online,9.8,2024-11-07 00:00:00
S0190,North,Apparel,10,53.46,534.6,In-store,7.2,2024-08-03 00:00:00
S0191,East,Electronics,6,291.04,1746.24,In-store,9.1,2024-09-28 00:00:00
S0192,North,Electronics,11,21.57,237.27,In-store,8.0,2024-03-16 00:00:00
S0193,East,Furniture,11,349.55,3845.05,In-store,5.8,2024-05-03 00:00:00
S0194,South,Groceries,10,267.61,2676.1,Online,4.7,2024-04-13 00:00:00
S0195,North,Apparel,9,451.16,4060.44,Online,4.7,2024-12-09 00:00:00
S0196,North,Furniture,5,426.91,2134.55,In-store,5.0,2024-10-20 00:00:00
S0197,East,Furniture,12,72.25,867.0,Online,9.0,2024-12-13 00:00:00
S0198,North,Furniture,2,481.2,962.4,Online,7.6,2024-09-20 00:00:00
S0199,East,Cosmetics,2,278.69,557.38,Online,9.8,2024-04-08 00:00:00
S0200,North,Electronics,10,287.69,2876.9,In-store,8.5,2024-01-30 00:00:00
S0201,South,Groceries,7,145.96,1021.72,Online,8.1,2024-04-19 00:00:00
S0202,East,Electronics,8,183.46,1467.68,In-store,9.4,2024-02-14 00:00:00
S0203,North,Furniture,10,593.23,5932.3,Online,9.5,2024-06-30 00:00:00
S0204,South,Groceries,3,223.35,670.05,In-store,4.3,2024-07-09 00:00:00
S0205,South,Cosmetics,9,443.66,3992.94,Online,8.8,2024-06-29 00:00:00
S0206,South,Furniture,2,216.67,433.34,Online,3.7,2024-12-11 00:00:00
S0207,North,Cosmetics,4,156.49,625.96,Online,8.9,2024-10-24 00:00:00
S0208,North,Cosmetics,8,72.58,580.64,Online,4.0,2024-05-12 00:00:00
S0209,South,Cosmetics,3,94.4,283.2,Online,7.3,2024-05-08 00:00:00
S0210,South,Cosmetics,9,598.37,5385.33,Online,3.7,2024-03-18 00:00:00
S0211,North,Groceries,8,303.56,2428.48,Online,4.7,2024-11-26 00:00:00
S0212,South,Electronics,11,361.98,3981.78,In-store,6.1,2024-11-08 00:00:00
S0213,South,Furniture,9,50.15,451.35,Online,5.5,2024-03-08 00:00:00
S0214,North,Electronics,10,376.65,3766.5,In-store,8.2,2024-06-18 00:00:00
S0215,South,Apparel,10,283.7,2837.0,Online,5.7,2024-09-04 00:00:00
S0216,North,Cosmetics,6,139.84,839.04,Online,7.6,2024-12-09 00:00:00
S0217,South,Groceries,3,167.24,501.72,In-store,5.8,2024-10-20 00:00:00
S0218,North,Groceries,9,352.73,3174.57,Online,9.2,2024-08-06 00:00:00
S0219,North,Apparel,11,345.2,3797.2,In-store,8.7,2024-05-01 00:00:00
S0220,South,Apparel,3,410.39,1231.17,In-store,6.8,2024-11-21 00:00:00
S0221,East,Cosmetics,4,213.51,854.04,In-store,3.9,2024-06-21 00:00:00
S0222,South,Furniture,11,197.3,2170.3,In-store,9.3,2024-04-30 00:00:00
S0223,North,Groceries,6,94.73,568.38,In-store,6.1,2024-07-21 00:00:00
S0224,North,Furniture,10,464.55,4645.5,Online,4.4,2024-06-06 00:00:00
S0225,East,Apparel,5,437.36,2186.8,Online,9.5,2024-10-25 00:00:00
S0226,South,Furniture,2,353.03,706.06,In-store,9.9,2024-07-01 00:00:00
S0227,North,Cosmetics,12,259.82,3117.84,In-store,9.3,2024-05-21 00:00:00
S0228,North,Apparel,5,330.16,1650.8,Online,8.1,2024-04-21 00:00:00
S0229,North,Furniture,1,242.75,242.75,In-store,9.1,2024-11-27 00:00:00
S0230,East,Groceries,2,122.04,244.08,Online,7.4,2024-02-10 00:00:00
S0231,East,Apparel,2,486.63,973.26,Online,3.5,2024-05-18 00:00:00
S0232,North,Apparel,9,387.28,3485.52,Online,4.9,2024-06-16 00:00:00
S0233,South,Cosmetics,12,21.12,253.44,In-store,4.6,2024-07-31 00:00:00
S0234,East,Apparel,1,56.88,56.88,In-store,9.9,2024-07-23 00:00:00
S0235,North,Groceries,5,564.44,2822.2,In-store,7.2,2024-06-09 00:00:00
S0236,East,Apparel,1,252.01,252.01,Online,4.1,2024-03-20 00:00:00
S0237,North,Apparel,4,89.88,359.52,In-store,6.3,2024-10-02 00:00:00
S0238,East,Electronics,11,355.15,3906.65,In-store,5.0,2024-11-12 00:00:00
S0239,South,Groceries,5,489.01,2445.05,In-store,7.7,2024-10-08 00:00:00
S0240,South,Apparel,12,274.63,3295.56,In-store,4.4,2024-01-05 00:00:00
S0241,East,Apparel,9,288.08,2592.72,Online,9.9,2024-04-26 00:00:00
S0242,North,Groceries,7,455.17,3186.19,Online,4.3,2024-10-05 00:00:00
S0243,North,Apparel,9,126.94,1142.46,In-store,8.3,2024-03-31 00:00:00
S0244,North,Furniture,12,514.13,6169.56,Online,5.8,2024-12-29 00:00:00
S0245,South,Electronics,4,267.73,1070.92,In-store,9.4,2024-07-18 00:00:00
S0246,North,Groceries,8,131.2,1049.6,Online,3.9,2024-11-26 00:00:00
S0247,South,Groceries,7,406.16,2843.12,Online,7.2,2024-07-28 00:00:00
S0248,East,Electronics,7,567.25,3970.75,Online,5.1,2024-05-14 00:00:00
S0249,North,Apparel,12,263.11,3157.32,Online,5.6,2024-08-05 00:00:00
S0250,South,Electronics,11,170.82,1879.02,Online,6.6,2024-05-16 00:00:00
S0251,South,Groceries,3,494.58,1483.74,In-store,3.5,2024-05-07 00:00:00
S0252,East,Furniture,3,195.26,585.78,In-store,4.9,2024-01-27 00:00:00
S0253,East,Apparel,4,511.55,2046.2,Online,8.6,2024-08-12 00:00:00
S0254,North,Apparel,3,263.71,791.13,Online,8.7,2024-03-18 00:00:00
S0255,South,Electronics,1,84.36,84.36,In-store,4.1,2024-03-27 00:00:00
S0256,North,Cosmetics,8,411.25,3290.0,In-store,7.7,2024-12-06 00:00:00
S0257,South,Groceries,12,241.02,2892.24,Online,4.8,2024-11-17 00:00:00
S0258,North,Furniture,12,14.14,169.68,Online,7.2,2024-12-23 00:00:00
S0259,North,Apparel,2,438.46,876.92,Online,9.2,2024-03-02 00:00:00
S0260,East,Cosmetics,8,582.5,4660.0,Online,4.7,2024-12-16 00:00:00
S0261,East,Furniture,9,93.02,837.18,Online,6.9,2024-09-11 00:00:00
S0262,North,Electronics,2,212.92,425.84,Online,5.3,2024-03-31 00:00:00
S0263,North,Groceries,1,162.47,162.47,Online,6.8,2024-07-27 00:00:00
S0264,South,Groceries,9,571.4,5142.6,In-store,8.0,2024-11-30 00:00:00
S0265,East,Apparel,8,328.66,2629.28,In-store,9.9,2024-05-17 00:00:00
S0266,East,Cosmetics,7,256.07,1792.49,In-store,9.8,2024-07-17 00:00:00
S0267,North,Groceries,7,529.6,3707.2,Online,7.5,2024-05-10 00:00:00
S0268,South,Electronics,12,368.49,4421.88,Online,7.8,2024-02-14 00:00:00
S0269,East,Groceries,10,471.46,4714.6,In-store,8.0,2024-06-15 00:00:00
S0270,East,Apparel,11,389.5,4284.5,In-store,9.8,2024-01-01 00:00:00
S0271,South,Furniture,8,448.99,3591.92,In-store,7.3,2024-07-13 00:00:00
S0272,East,Cosmetics,4,495.87,1983.48,In-store,8.1,2024-07-20 00:00:00
S0273,East,Apparel,9,163.51,1471.59,Online,7.6,2024-10-05 00:00:00
S0274,East,Apparel,11,137.84,1516.24,In-store,9.4,2024-08-30 00:00:00
S0275,East,Cosmetics,12,211.93,2543.16,Online,10.0,2024-02-03 00:00:00
S0276,North,Furniture,9,221.64,1994.76,Online,8.8,2024-05-02 00:00:00
S0277,East,Cosmetics,11,107.55,1183.05,Online,7.7,2024-11-29 00:00:00
S0278,South,Cosmetics,1,196.57,196.57,Online,6.2,2024-12-25 00:00:00
S0279,South,Apparel,5,228.21,1141.05,In-store,6.4,2024-02-15 00:00:00
S0280,South,Groceries,5,240.35,1201.75,In-store,7.6,2024-03-30 00:00:00
S0281,East,Electronics,9,94.18,847.62,In-store,6.7,2024-12-04 00:00:00
S0282,East,Apparel,4,375.53,1502.12,In-store,5.1,2024-10-11 00:00:00
S0283,South,Groceries,4,5.48,21.92,Online,5.5,2024-10-05 00:00:00
S0284,South,Electronics,5,550.57,2752.85,In-store,8.9,2024-02-16 00:00:00
S0285,North,Electronics,9,383.51,3451.59,Online,6.3,2024-05-28 00:00:00
S0286,North,Cosmetics,10,469.73,4697.3,In-store,5.9,2024-12-30 00:00:00
S0287,South,Furniture,5,582.02,2910.1,In-store,5.8,2024-07-16 00:00:00
S0288,East,Electronics,10,82.04,820.4,In-store,3.9,2024-04-14 00:00:00
S0289,North,Cosmetics,6,516.81,3100.86,In-store,6.1,2024-07-31 00:00:00
S0290,East,Groceries,8,561.77,4494.16,Online,7.4,2024-08-24 00:00:00
S0291,South,Cosmetics,8,422.06,3376.48,In-store,4.6,2024-02-03 00:00:00
S0292,North,Furniture,8,241.58,1932.64,Online,7.9,2024-04-12 00:00:00
S0293,East,Apparel,7,327.29,2291.03,In-store,8.5,2024-08-23 00:00:00
S0294,North,Furniture,2,58.58,117.16,Online,4.2,2024-02-15 00:00:00
S0295,North,Electronics,4,340.83,1363.32,In-store,6.6,2024-01-29 00:00:00
S0296,South,Furniture,9,416.15,3745.35,Online,10.0,2024-01-26 00:00:00
S0297,South,Electronics,11,91.59,1007.49,Online,4.7,2024-10-02 00:00:00
S0298,North,Apparel,5,314.41,1572.05,In-store,5.2,2024-06-01 00:00:00
S0299,South,Groceries,9,239.9,2159.1,In-store,5.5,2024-07-13 00:00:00
S0300,South,Apparel,7,514.7,3602.9,Online,4.4,2024-04-16 00:00:00
S0301,South,Cosmetics,9,393.09,3537.81,Online,5.9,2024-06-23 00:00:00
S0302,East,Furniture,4,276.58,1106.32,Online,8.2,2024-01-05 00:00:00
S0303,East,Apparel,9,45.25,407.25,Online,5.3,2024-08-12 00:00:00
S0304,North,Furniture,5,124.33,621.65,In-store,6.1,2024-08-15 00:00:00
S0305,North,Electronics,4,527.45,2109.8,In-store,9.1,2024-03-04 00:00:00
S0306,North,Furniture,1,86.51,86.51,In-store,4.7,2024-10-14 00:00:00
S0307,South,Electronics,12,481.42,5777.04,In-store,8.7,2024-09-30 00:00:00
S0308,East,Electronics,3,91.74,275.22,Online,6.5,2024-04-13 00:00:00
S0309,South,Electronics,2,570.77,1141.54,In-store,8.1,2024-08-14 00:00:00
S0310,North,Electronics,11,257.62,2833.82,Online,4.5,2024-08-16 00:00:00
S0311,East,Apparel,5,456.11,2280.55,Online,5.5,2024-05-12 00:00:00
S0312,North,Electronics,6,331.49,1988.94,Online,6.0,2024-01-17 00:00:00
S0313,East,Apparel,6,231.08,1386.48,Online,7.8,2024-12-21 00:00:00
S0314,North,Electronics,2,122.9,245.8,In-store,5.7,2024-07-24 00:00:00
S0315,South,Groceries,2,28.09,56.18,Online,10.0,2024-09-25 00:00:00
S0316,South,Apparel,9,48.4,435.6,Online,8.4,2024-09-11 00:00:00
S0317,South,Apparel,2,124.3,248.6,Online,4.8,2024-08-28 00:00:00
S0318,North,Furniture,5,461.83,2309.15,In-store,3.7,2024-11-02 00:00:00
S0319,South,Electronics,2,580.58,1161.16,Online,7.8,2024-01-26 00:00:00
S0320,South,Cosmetics,3,203.22,609.66,Online,5.6,2024-07-05 00:00:00
S0321,South,Groceries,3,70.24,210.72,In-store,4.1,2024-10-09 00:00:00
S0322,East,Cosmetics,2,473.85,947.7,In-store,3.7,2024-01-21 00:00:00
S0323,South,Electronics,9,349.65,3146.85,In-store,7.3,2024-06-29 00:00:00
S0324,East,Electronics,2,227.95,455.9,In-store,4.6,2024-02-16 00:00:00
S0325,East,Cosmetics,6,7.95,47.7,In-store,4.5,2024-02-18 00:00:00
S0326,North,Electronics,2,528.04,1056.08,In-store,5.3,2024-10-04 00:00:00
S0327,North,Electronics,2,197.94,395.88,Online,6.8,2024-07-06 00:00:00
S0328,East,Electronics,4,173.67,694.68,Online,9.4,2024-09-30 00:00:00
